全部频道,#genre#
陕西农林卫视,http://39.134.115.163:8080/PLTV/88888888/224/3221226204/index.m3u8
厦门卫视,http://39.134.115.163:8080/PLTV/88888888/224/3221226199/index.m3u8
超级体育,http://39.134.115.163:8080/PLTV/88888910/224/3221225622/index.m3u8
超级电影,http://39.134.115.163:8080/PLTV/88888910/224/3221225623/index.m3u8
超级电视剧,http://39.134.115.163:8080/PLTV/88888910/224/3221225625/index.m3u8
超级综艺,http://39.134.115.163:8080/PLTV/88888910/224/3221225620/index.m3u8
超级体育,http://39.134.115.163:8080/PLTV/88888910/224/3221225767/index.m3u8
超级电影,http://39.134.115.163:8080/PLTV/88888910/224/3221225766/index.m3u8
超级电视剧,http://39.134.115.163:8080/PLTV/88888910/224/3221225765/index.m3u8
超级综艺,http://39.134.115.163:8080/PLTV/88888910/224/3221225768/index.m3u8
NewTV电竞,http://39.134.115.163:8080/PLTV/88888910/224/3221225653/index.m3u8
精品体育,http://39.134.115.163:8080/PLTV/88888910/224/3221225709/index.m3u8
精品大剧,http://39.134.115.163:8080/PLTV/88888910/224/3221225714/index.m3u8
精品电影,http://39.134.115.163:8080/PLTV/88888910/224/3221225718/index.m3u8
精品纪录,http://39.134.115.163:8080/PLTV/88888910/224/3221225710/index.m3u8
金牌综艺,http://39.134.115.163:8080/PLTV/88888910/224/3221225711/index.m3u8
金鹰卡通,http://39.134.115.163:8080/PLTV/88888910/224/3221225721/index.m3u8
卡酷少儿,http://39.134.115.163:8080/PLTV/88888910/224/3221225677/index.m3u8
古装剧场,http://39.134.115.163:8080/PLTV/88888910/224/3221225678/index.m3u8
动作电影,http://39.134.115.163:8080/PLTV/88888910/224/3221225671/index.m3u8
动画王国,http://39.134.115.163:8080/PLTV/88888910/224/3221225672/index.m3u8
农业致富,http://39.134.115.163:8080/PLTV/88888910/224/3221225670/index.m3u8
军旅剧场,http://39.134.115.163:8080/PLTV/88888910/224/3221225669/index.m3u8
优漫卡通,http://39.134.115.163:8080/PLTV/88888910/224/3221225665/index.m3u8
惊悚悬疑,http://39.134.115.163:8080/PLTV/88888910/224/3221225717/index.m3u8
明星大片,http://39.134.115.163:8080/PLTV/88888910/224/3221225716/index.m3u8
中国功夫,http://39.134.115.163:8080/PLTV/88888910/224/3221225660/index.m3u8
哈哈炫动,http://39.134.115.163:8080/PLTV/88888910/224/3221225720/index.m3u8
炫舞未来,http://39.134.115.163:8080/PLTV/88888910/224/3221225707/index.m3u8
快乐垂钓,http://39.134.115.163:8080/PLTV/88888888/224/3221225780/index.m3u8?fmt=ts2hls
茶频道,http://39.134.115.163:8080/PLTV/88888888/224/3221225781/index.m3u8?fmt=ts2hls
中教四台职业教育,http://39.134.115.163:8080/PLTV/88888888/224/3221225937/index.m3u8
纯享4K,http://39.134.115.163:8080/PLTV/88888888/224/3221225786/index.m3u8
金鹰纪实高清,http://39.134.115.163:8080/PLTV/88888888/224/3221225595/index.m3u8?fmt=ts2hls
茶频道高清,http://39.134.115.163:8080/PLTV/88888888/224/3221225781/index.m3u8?fmt=ts2hls
快乐垂钓高清,http://39.134.115.163:8080/PLTV/88888888/224/3221225780/index.m3u8?fmt=ts2hls
中视购物,http://39.134.115.163:8080/PLTV/88888888/224/3221225976/index.m3u8
嘉佳卡通,http://39.134.115.163:8080/PLTV/88888888/224/3221226193/index.m3u8
汽摩,http://39.134.115.163:8080/PLTV/88888888/224/3221225506/index.m3u8?fmt=ts2hls
靓妆,http://39.134.115.163:8080/PLTV/88888888/224/3221225509/index.m3u8?fmt=ts2hls
梨园高清,http://39.134.115.163:8080/PLTV/88888888/224/3221225581/index.m3u8?fmt=ts2hls
中华美食,http://39.134.115.163:8080/PLTV/88888888/224/3221225924/index.m3u8
武术世界,http://39.134.115.163:8080/PLTV/88888888/224/3221225508/index.m3u8?fmt=ts2hls

江西频道,#genre#
江西卫视高清,http://39.134.115.163:8080/PLTV/88888910/224/3221225746/index.m3u8
江西都市高清,http://39.134.115.163:8080/PLTV/88888888/224/3221225584/index.m3u8?fmt=ts2hls
江西经济生活高清,http://39.134.115.163:8080/PLTV/88888888/224/3221226206/index.m3u8?fmt=ts2hls
江西影视旅游高清,http://39.134.115.163:8080/PLTV/88888888/224/3221225579/index.m3u8?fmt=ts2hls
江西公共农业高清,http://39.134.115.163:8080/PLTV/88888888/224/3221225578/index.m3u8?fmt=ts2hls
江西少儿高清,http://39.134.115.163:8080/PLTV/88888888/224/3221226194/index.m3u8?fmt=ts2hls
江西新闻频道高清,http://39.134.115.163:8080/PLTV/88888888/224/3221225615/index.m3u8?fmt=ts2hls
江西教育高清,http://39.134.115.163:8080/PLTV/88888888/224/3221226197/index.m3u8?fmt=ts2hls

央视频道,#genre#
中央二台高清,http://39.134.115.163:8080/PLTV/88888910/224/3221225619/index.m3u8
中央三台高清,http://39.134.115.163:8080/PLTV/88888910/224/3221225634/index.m3u8
中央四台高清,http://39.134.115.163:8080/PLTV/88888910/224/3221225621/index.m3u8
央视5＋体育赛事高清,http://39.134.115.163:8080/PLTV/88888910/224/3221225649/index.m3u8
中央五台高清,http://39.134.115.163:8080/PLTV/88888910/224/3221225633/index.m3u8
中央六台高清,http://39.134.115.163:8080/PLTV/88888910/224/3221225650/index.m3u8
中央七台高清,http://39.134.115.163:8080/PLTV/88888910/224/3221225624/index.m3u8
中央八台高清,http://39.134.115.163:8080/PLTV/88888910/224/3221225631/index.m3u8
中央九台高清,http://39.134.115.163:8080/PLTV/88888910/224/3221225626/index.m3u8
中央十台高清,http://39.134.115.163:8080/PLTV/88888910/224/3221225636/index.m3u8
中央十一台高清,http://39.134.115.163:8080/PLTV/88888910/224/3221225628/index.m3u8
中央十二台高清,http://39.134.115.163:8080/PLTV/88888910/224/3221225637/index.m3u8
央视新闻高清,http://39.134.115.163:8080/PLTV/88888910/224/3221225638/index.m3u8
央视少儿高清,http://39.134.115.163:8080/PLTV/88888910/224/3221225639/index.m3u8
央视音乐高清,http://39.134.115.163:8080/PLTV/88888910/224/3221225641/index.m3u8
央视奥林匹克高清,http://39.135.138.58:18890/PLTV/88888888/224/3221226230/index.m3u8
中央十七台高清,http://39.134.115.163:8080/PLTV/88888910/224/3221225908/index.m3u8
CGTN,http://39.134.115.163:8080/PLTV/88888888/224/3221225747/index.m3u8
CGTN纪录,http://39.134.115.163:8080/PLTV/88888888/224/3221225645/index.m3u8

卫视频道,#genre#
湖南卫视高清,http://39.134.115.163:8080/PLTV/88888910/224/3221225704/index.m3u8
东方卫视高清,http://39.134.115.163:8080/PLTV/88888910/224/3221225658/index.m3u8
北京卫视高清,http://39.134.115.163:8080/PLTV/88888910/224/3221225673/index.m3u8
吉林卫视高清,http://39.134.115.163:8080/PLTV/88888910/224/3221225680/index.m3u8
天津卫视高清,http://39.134.115.163:8080/PLTV/88888910/224/3221225698/index.m3u8
安徽卫视高清,http://39.134.115.163:8080/PLTV/88888910/224/3221225691/index.m3u8
重庆卫视高清,http://39.134.115.163:8080/PLTV/88888910/224/3221225692/index.m3u8
广东卫视高清,http://39.134.115.163:8080/PLTV/88888910/224/3221225742/index.m3u8
四川卫视高清,http://39.134.115.163:8080/PLTV/88888910/224/3221225733/index.m3u8
山西卫视,http://39.134.115.163:8080/PLTV/88888888/224/3221225730/index.m3u8
陕西卫视,http://39.134.115.163:8080/PLTV/88888910/224/3221225729/index.m3u8
内蒙古卫视,http://39.134.115.163:8080/PLTV/88888910/224/3221225667/index.m3u8
东南卫视高清,http://39.134.115.163:8080/PLTV/88888910/224/3221225657/index.m3u8
青海卫视高清,http://39.134.115.163:8080/PLTV/88888910/224/3221225727/index.m3u8
云南卫视高清,http://39.134.115.163:8080/PLTV/88888910/224/3221225664/index.m3u8
黑龙江卫视高清,http://39.134.115.163:8080/PLTV/88888910/224/3221225736/index.m3u8
贵州卫视高清,http://39.134.115.163:8080/PLTV/88888910/224/3221225728/index.m3u8
中教一台高清,http://39.134.115.163:8080/PLTV/88888888/224/3221225917/index.m3u8?fmt=ts2hls
大湾区卫视,http://39.135.138.58:18890/PLTV/88888888/224/3221226203/index.m3u8
纪实科教高清,http://39.134.115.163:8080/PLTV/88888910/224/3221225675/index.m3u8
纪实人文高清,http://39.134.115.163:8080/PLTV/88888910/224/3221225654/index.m3u8
江苏卫视高清,http://39.134.115.163:8080/PLTV/88888910/224/3221225743/index.m3u8
浙江卫视高清,http://39.134.115.163:8080/PLTV/88888910/224/3221225744/index.m3u8
深圳卫视高清,http://39.134.115.163:8080/PLTV/88888910/224/3221225741/index.m3u8
海南卫视高清,http://39.134.115.163:8080/PLTV/88888910/224/3221225722/index.m3u8
湖北卫视高清,http://39.134.115.163:8080/PLTV/88888910/224/3221225699/index.m3u8
河南卫视高清,http://39.134.115.163:8080/PLTV/88888910/224/3221225611/index.m3u8?fmt=ts2hls
甘肃卫视高清,http://39.134.115.163:8080/PLTV/88888910/224/3221225724/index.m3u8
辽宁卫视高清,http://39.134.115.163:8080/PLTV/88888910/224/3221225735/index.m3u8
延边卫视,http://39.134.115.163:8080/PLTV/88888888/224/3221226201/index.m3u8
宁夏卫视,http://39.134.115.163:8080/PLTV/88888910/224/3221225726/index.m3u8
广西卫视,http://39.134.115.163:8080/PLTV/88888910/224/3221225731/index.m3u8
海南卫视高清,http://39.134.115.163:8080/PLTV/88888910/224/3221225722/index.m3u8
西藏卫视,http://39.134.115.163:8080/PLTV/88888910/224/3221225723/index.m3u8
新疆卫视,http://39.134.115.163:8080/PLTV/88888910/224/3221225725/index.m3u8
延边卫视,http://39.134.115.163:8080/PLTV/88888888/224/3221226201/index.m3u8
风尚购物高清,http://39.134.115.163:8080/PLTV/88888888/224/3221225970/index.m3u8
四川康巴卫视,http://39.134.115.163:8080/PLTV/88888888/224/3221226207/index.m3u8
山东教育卫视,http://39.134.115.163:8080/PLTV/88888888/224/3221225719/index.m3u8
新疆兵团卫视,http://39.134.115.163:8080/PLTV/88888888/224/3221226200/index.m3u8
陕西农林卫视,http://39.134.115.163:8080/PLTV/88888888/224/3221226204/index.m3u8
厦门卫视,http://39.134.115.163:8080/PLTV/88888888/224/3221226199/index.m3u8

NewTV频道,#genre#
超级体育,http://39.134.115.163:8080/PLTV/88888910/224/3221225622/index.m3u8
超级电影,http://39.134.115.163:8080/PLTV/88888910/224/3221225623/index.m3u8
超级电视剧,http://39.134.115.163:8080/PLTV/88888910/224/3221225625/index.m3u8
超级综艺,http://39.134.115.163:8080/PLTV/88888910/224/3221225620/index.m3u8
超级体育,http://39.134.115.163:8080/PLTV/88888910/224/3221225767/index.m3u8
超级电影,http://39.134.115.163:8080/PLTV/88888910/224/3221225766/index.m3u8
超级电视剧,http://39.134.115.163:8080/PLTV/88888910/224/3221225765/index.m3u8
超级综艺,http://39.134.115.163:8080/PLTV/88888910/224/3221225768/index.m3u8
NewTV电竞,http://39.134.115.163:8080/PLTV/88888910/224/3221225653/index.m3u8
精品体育,http://39.134.115.163:8080/PLTV/88888910/224/3221225709/index.m3u8
精品大剧,http://39.134.115.163:8080/PLTV/88888910/224/3221225714/index.m3u8
精品电影,http://39.134.115.163:8080/PLTV/88888910/224/3221225718/index.m3u8
精品纪录,http://39.134.115.163:8080/PLTV/88888910/224/3221225710/index.m3u8
